UF,Cod. Municipio,Nome Municipio,Ano,Mês,Admissao,Desligamento,Saldo
Acre,120001,Acrelândia,2012,01,23,17,6
Acre,120001,Acrelândia,2012,02,20,27,-7
Acre,120001,Acrelândia,2012,03,18,27,-9
Acre,120001,Acrelândia,2012,04,12,35,-23
Acre,120001,Acrelândia,2012,05,40,28,12
Acre,120001,Acrelândia,2012,06,36,26,10
Acre,120001,Acrelândia,2012,07,21,26,-5
Acre,120001,Acrelândia,2012,08,27,27,0
Acre,120001,Acrelândia,2012,09,21,22,-1
Acre,120001,Acrelândia,2012,10,24,18,6
Acre,120001,Acrelândia,2012,11,25,23,2
Acre,120001,Acrelândia,2012,12,10,22,-12
