UF,Cod. Municipio,Nome Municipio,Ano,Mês,Admissao,Desligamento,Saldo
Acre,120001,Acrelândia,2013,01,23,17,6
Acre,120001,Acrelândia,2013,02,19,21,-2
Acre,120001,Acrelândia,2013,03,19,11,8
Acre,120001,Acrelândia,2013,04,15,18,-3
Acre,120001,Acrelândia,2013,05,14,15,-1
Acre,120001,Acrelândia,2013,06,18,15,3
Acre,120001,Acrelândia,2013,07,39,22,17
Acre,120001,Acrelândia,2013,08,16,15,1
Acre,120001,Acrelândia,2013,09,26,18,8
Acre,120001,Acrelândia,2013,10,15,10,5
Acre,120001,Acrelândia,2013,11,12,45,-33
Acre,120001,Acrelândia,2013,12,14,21,-7
