UF,Cod. Municipio,Nome Municipio,Ano,Mês,Admissao,Desligamento,Saldo
Acre,120001,Acrelândia,2011,01,26,33,-7
Acre,120001,Acrelândia,2011,02,11,28,-17
Acre,120001,Acrelândia,2011,03,24,40,-16
Acre,120001,Acrelândia,2011,04,34,24,10
Acre,120001,Acrelândia,2011,05,40,28,12
Acre,120001,Acrelândia,2011,06,36,26,10
Acre,120001,Acrelândia,2011,07,21,26,-5
Acre,120001,Acrelândia,2011,08,27,27,0
Acre,120001,Acrelândia,2011,09,21,22,-1
Acre,120001,Acrelândia,2011,10,24,18,6
Acre,120001,Acrelândia,2011,11,25,23,2
Acre,120001,Acrelândia,2011,12,10,22,-12
