UF,Cod. Municipio,Nome Municipio,Ano,Mês,Admissao,Desligamento,Saldo
Acre,120001,Acrelândia,2008,01,3,15,-12
Acre,120001,Acrelândia,2008,02,5,8,-3
Acre,120001,Acrelândia,2008,03,16,14,2
Acre,120001,Acrelândia,2008,04,10,20,-10
Acre,120001,Acrelândia,2008,05,25,14,11
Acre,120001,Acrelândia,2008,06,12,10,2
Acre,120001,Acrelândia,2008,07,13,18,-5
Acre,120001,Acrelândia,2008,08,28,9,19
Acre,120001,Acrelândia,2008,09,14,8,6
Acre,120001,Acrelândia,2008,10,13,12,1
Acre,120001,Acrelândia,2008,11,15,10,5
Acre,120001,Acrelândia,2008,12,12,45,-33
