UF,Cod. Municipio,Nome Municipio,Ano,Mês,Admissao,Desligamento,Saldo
Acre,120001,Acrelândia,2010,01,19,16,3
Acre,120001,Acrelândia,2010,02,15,46,-31
Acre,120001,Acrelândia,2010,03,14,16,-2
Acre,120001,Acrelândia,2010,04,15,13,2
Acre,120001,Acrelândia,2010,05,33,9,24
Acre,120001,Acrelândia,2010,06,18,10,8
Acre,120001,Acrelândia,2010,07,23,13,10
Acre,120001,Acrelândia,2010,08,15,14,1
Acre,120001,Acrelândia,2010,09,11,7,4
Acre,120001,Acrelândia,2010,10,21,12,9
Acre,120001,Acrelândia,2010,11,11,10,1
Acre,120001,Acrelândia,2010,12,8,23,-15
